EXP, timestamp,flowid, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1,1638795468,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 20 ,0 ,160 ,0 ,98 
1,1638795468,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 19 ,0 ,144 ,0 ,98 
1,1638795468,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 19 ,0 ,330 ,0 ,134 
1,1638795468,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 21 ,0 ,34 ,0 ,134 
1,1638795468,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 21 ,0 ,249 ,0 ,98 
1,1638795468,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 20 ,0 ,139 ,0 ,98 
1,1638795468,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 20 ,0 ,78 ,0 ,134 
1,1638795468,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 22 ,0 ,27 ,0 ,134 
1,1638795468,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 22 ,0 ,384 ,0 ,98 
1,1638795468,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 21 ,0 ,2536 ,0 ,98 
1,1638795468,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 21 ,0 ,102 ,0 ,134 
1,1638795468,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 23 ,0 ,32 ,0 ,134 
1,1638795468,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 23 ,0 ,27 ,0 ,98 
1,1638795468,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 22 ,0 ,284 ,0 ,98 
1,1638795468,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 22 ,0 ,145 ,0 ,134 
1,1638795468,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 24 ,0 ,29 ,0 ,134 
1,1638795468,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 24 ,0 ,25 ,0 ,98 
1,1638795468,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 23 ,0 ,239 ,0 ,98 
1,1638795468,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 23 ,0 ,118 ,0 ,134 
1,1638795469,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 25 ,0 ,35 ,0 ,134 
